idx,treatment_title,resp_title,sate,causal_effect,explanation
4710,Once Upon a Time in America (1984),Jackie Chan's First Strike (1996),0.68913347,0,"Distinct genres (crime epic vs. action-comedy martial arts) and minimal audience overlap mean watching one does not causally affect the other. Confounders like general movie enthusiasm could correlate, but not causally determine subsequent viewing."
4711,"Glimmer Man, The (1996)",Home for the Holidays (1995),-0.1300678,0,"Action buddy movie and holiday family dramedy have no narrative or genre dependency, and no causal pathway. Watching 'Glimmer Man' does not increase or decrease the chance of watching 'Home for the Holidays.'"
4712,Tin Men (1987),Ghost (1990),0.0235705,0,"'Tin Men' is a period dramedy and 'Ghost' is a romantic supernatural film. They share little audience or genre overlap, so watching the former does not causally increase or decrease interest in the latter."
4713,"Hour of the Pig, The (1993)",Sunset Blvd. (1950),0.16282725,0,"Distinct genres (historical mystery vs. Hollywood noir), different critical circles, and no franchise or narrative link mean no causal effect—viewers are independently drawn to each film."
4714,That Thing You Do! (1996),Home for the Holidays (1995),-0.1300678,1,"There is a slight causal potential if viewers are following actors (Steve Zahn in both) or enjoy mid-90s dramedies, but the effect is minimal. No narrative dependency, but genre and shared cast give a faint nudge."
4715,L.A. Confidential (1997),"City of Lost Children, The (1995)",0.68911445,0,'L.A. Confidential' (neo-noir) and 'City of Lost Children' (fantasy/science fiction) are acclaimed but appeal to different primary audiences; no causal narrative or genre link exists.
4716,Space Jam (1996),"City of Lost Children, The (1995)",0.68911445,0,"The family-oriented sports-comedy and French fantasy film have no audience, genre, or narrative overlap. There are no plausible confounders creating a causal pathway."
4717,Face/Off (1997),"Edge, The (1997)",0.09977466,0,"Both are 1997 thrillers but differ in tone and subgenre. No strong narrative, actor, or sequel dependency exists, and viewing one does not causally impact interest in the other."
4718,To Kill a Mockingbird (1962),Home for the Holidays (1995),-0.1300678,0,'To Kill a Mockingbird' (classic courtroom drama) and 'Home for the Holidays' (holiday dramedy) have separate canonical and viewer trajectories without causal connection.
4719,McHale's Navy (1997),"City of Lost Children, The (1995)",0.68911445,0,"Disparate genres (slapstick comedy vs. dark fantasy), target audiences, and no shared cast or narrative tie result in zero causal impact from watching one to the other."
4720,Beverly Hills Cop III (1994),Killing Zoe (1994),0.2541293,0,"Both 1994 films, but with different genres, tone, and audiences (action-comedy vs. crime). Franchise and thematic elements do not create a causal effect."
4721,Three Colors: White (1994),Picnic (1955),-0.13004215,0,"While both are dramas, their styles, nationality, and narrative concerns are very different, with no audience or narrative tie to create a causal effect."
4722,Three Colors: White (1994),"City of Lost Children, The (1995)",0.68911445,1,"Both are European arthouse films with crossover in cinephile audiences. Watching one may lightly increase interest in the other due to art-film exploration, creating a modest positive causal effect."
4723,Three Wishes (1995),M (1931),-0.01521877,0,"Sentimental drama and German noir thriller have no narrative or genre overlap, and audiences are independently motivated to watch either film."
4724,Highlander (1986),Picnic (1955),-0.13004215,0,"'Highlander' is a fantasy action film, 'Picnic' a mid-century romantic drama. Their appeal and audience do not causally interact."
4725,Three Colors: White (1994),Roommates (1995),0.6889998,0,"Apart from being 90s dramas, these films appeal to different segments and have no franchise, cast, or genre connection to support a causal pathway."
4726,Fluke (1995),Made in America (1993),0.045938876,0,Family drama and comedy with very different premises and audience motivations; viewing one does not causally induce viewing of the other.
4727,L.A. Confidential (1997),Picnic (1955),-0.13004215,0,"Very different genres (neo-noir vs. romantic drama) and eras, with independent appeal and no narrative or franchise link."
4728,Scream (1996),Waterworld (1995),0.25003943,0,'Scream' is a meta-horror film; 'Waterworld' is a dystopian action epic. Audiences and reasons for watching do not overlap to support a causal effect.
4729,Sleepers (1996),Mallrats (1995),0.68895596,0,A dark crime drama and a slacker comedy have very different appeals. Viewing one does not impact interest in the other due to lack of audience or narrative overlap.
4730,Three Colors: White (1994),Absolute Power (1997),-0.12998481,0,"European arthouse drama and Hollywood thriller attract different audiences, with no causal pathways (actors, genres, franchises) connecting them."
4731,My Favorite Year (1982),Bob Roberts (1992),0.6889559,1,"Both are media-industry satires appealing to viewers interested in satirical or showbiz themes, so watching one may causally nudge viewers toward the other."
4732,"Great White Hype, The (1996)",Deconstructing Harry (1997),0.366426,0,"Sports satire and Woody Allen comedy appeal to different comic sensibilities and audiences. Lacking franchise, cast, or direct thematic ties, watching one does not causally affect the other."
4733,Thirty-Two Short Films About Glenn Gould (1993),Absolute Power (1997),-0.12998481,0,"No narrative, genre, or thematic connection; watching an experimental biopic about a pianist does not causally affect choosing a political thriller. Confounders like genre preference and release time make overlap low."
4734,Hearts and Minds (1996),Little Odessa (1994),-0.12996425,0,"Hearts and Minds (1996) is a drama, not to be confused with the Vietnam War documentary. Little Odessa is a crime family drama. No causal link in genre, narrative, or likely viewer pathway."
4735,Jumanji (1995),"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",0.68878865,0,A family fantasy adventure and an Italian drama about WWII have no causal nor thematic linkage. No direct or indirect causal effect beyond trivial random overlap.
4736,Dead Poets Society (1989),"Sex, Lies, and Videotape (1989)",0.06734085,0,"Both are dramas from 1989, but have different tone, audiences, and subject matter. No causal narrative or genre dependency, so watching one does not strongly affect the other."
4737,Kicking and Screaming (1995),"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",0.68878865,0,"A 1990s college comedy-drama and a classic Italian historical drama are unrelated in narrative and genre; no causal effect, any shared audience is likely coincidental."
4738,"Chamber, The (1996)",Cat on a Hot Tin Roof (1958),0.051838998,1,"Both are Southern-set dramas involving family secrets and moral tension. While not directly connected, watching The Chamber might mildly increase interest in more classic Southern dramas, but genre leap and age make the effect small."
4739,Deceiver (1997),Picnic (1955),-0.1299639,0,"A 1990s neo-noir thriller and a 1950s romantic drama have entirely separate audiences, themes, and tones. No direct or meaningful indirect causal path."
4740,Grosse Pointe Blank (1997),"Crossing Guard, The (1995)",0.14290106,1,"Both dramas feature crime and midlife crises, but with very different tones. There might be a small causal increase for viewers interested in character-driven crime dramas, but the effect is marginal due to tonal differences."
4741,While You Were Sleeping (1995),"20,000 Leagues Under the Sea (1954)",0.68878865,0,"A 1990s romantic comedy and a classic adventure sci-fi have distinctly different audiences, no causal path or thematic link."
4742,Wild Things (1998),Return of the Jedi (1983),-0.12996304,0,"Erotic neo-noir demonstrates little to no causal influence on desire to watch a classic sci-fi space opera, barring entirely coincidental double features."
4743,Spice World (1997),Ulee's Gold (1997),0.6887631,0,Lighthearted musical comedy and somber indie drama appeal to nearly opposite demographics; no causal effect present.
4744,Little Odessa (1994),For Whom the Bell Tolls (1943),-0.032068964,0,"Despite both being dramas, their context (Russian-American crime vs. Spanish Civil War epic) and era make causal effect negligible."
4745,Diva (1981),Return of the Jedi (1983),-0.12996304,0,French arthouse thriller and Star Wars space opera serve non-overlapping audiences with no narrative or genre bridge.
4746,Microcosmos: Le peuple de l'herbe (1996),Manhattan Murder Mystery (1993),0.22622038,0,"A nature documentary and a neurotic urban comedy-mystery by Woody Allen share no genre, style, or audience; no plausible causal effect."
4747,Power 98 (1995),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",0.68869126,0,A 1990s thriller about radio and Bergman's existential drama have no overlap in fanbase or subject; causal effect is null.
4748,"Princess Bride, The (1987)",Around the World in 80 Days (1956),-0.12995729,1,"Both are light adventure romances with family appeal. Watching Princess Bride may slightly increase interest in older adventure comedies due to tone and sense of fun, but difference in age/pace limits causal uplift."
4749,In the Line of Fire (1993),This Is Spinal Tap (1984),0.028341198,0,Political thriller and rock mockumentary are on opposite ends of genre spectrum; watching one neither increases nor decreases likelihood of watching the other.
4750,Grease (1978),Midnight in the Garden of Good and Evil (1997),-0.12994742,0,Musical high school romance and Southern Gothic drama are too divergent in theme and audience to present meaningful causal flow.
4751,Lone Star (1996),Home Alone (1990),0.6886811,0,"Neo-western mystery and slapstick family comedy serve different viewer motivations and have no narrative, genre, or sequel connection."
4752,Pollyanna (1960),Stand by Me (1986),0.338928,1,"Both focus on formative childhood themes, appealing to nostalgia; watching Pollyanna could weakly increase interest in coming-of-age stories like Stand by Me via mood/genre, but the effect is slight."
4753,Amityville: A New Generation (1993),Theodore Rex (1995),0.68863446,0,A low-budget horror sequel and a family sci-fi comedy are so misaligned that there is no plausible causal relationship.
4754,"Hour of the Pig, The (1993)",Midnight in the Garden of Good and Evil (1997),-0.12994742,1,"Both involve mystery and Southern Gothic or period legal intrigue; watching The Hour of the Pig could cause a small uptick in seeking related atmospheres, though time and style differences keep effect modest."
4755,Batman & Robin (1997),Tales From the Crypt Presents: Demon Knight (1995),0.32279056,1,"While superhero and horror genres differ, both films are campy, mid-90s genre fare, and may appeal to viewers seeking 'so-bad-it's-good' content; minor causal boost via cult interest possible."
4756,To Kill a Mockingbird (1962),"Full Monty, The (1997)",-0.1299115,0,A classic literary drama and a contemporary British comedy about unemployment have no theoretical causal path for affecting viewership of each other.
4757,Rising Sun (1993),Kids (1995),0.68856806,0,Watching a Michael Crichton crime thriller does not causally affect choosing a controversial coming-of-age indie drama; genres and topics are unrelated.
4758,"Fish Called Wanda, A (1988)",Red Rock West (1992),0.6884975,0,"These films are unrelated in genre (comedy vs. neo-noir thriller), narrative, and tone. Watching A does not causally impact the likelihood of watching B, beyond general film enthusiasm or random viewing. No direct or indirect narrative or genre connection."
4759,Things to Do in Denver when You're Dead (1995),"Full Monty, The (1997)",-0.1299115,0,"A is a crime drama, while B is a British comedy about unemployed steelworkers. General movie watching behavior may overlap due to 90s adult-targeted films, but there is no narrative, thematic, or strong genre link suggesting watching A increases or decreases interest in B."
4760,"Wings of the Dove, The (1997)",Scream 2 (1997),0.02268717,0,"A is a period romantic drama, B is a teen slasher horror sequel. Distinct genres and audiences, so viewing A does not causally affect the likelihood to watch B, except possibly negative selection from mood/genre, which should be minor."
4761,Fly Away Home (1996),First Kid (1996),-0.106465995,0,"Both are family films released in the same year, but they differ in narrative (animal drama vs. kid comedy). Any overlap in viewership is due to family-friendly movie interests, not causally due to watching A."
4762,Village of the Damned (1995),Titanic (1997),-0.12989852,0,"A is horror/sci-fi, B is sweeping historical romance/disaster. Completely different genres, so watching A neither promotes nor discourages watching B, beyond a general habit of movie viewing."
4763,Real Genius (1985),My Fellow Americans (1996),0.6884525,0,"A is a teen sci-fi comedy, B is a political comedy targeting older demographics. No narrative/genre link and no clear reason for a causal effect between the two films."
4764,Bad Moon (1996),Traveller (1997),0.6884452,0,"A is a horror film about werewolves, B is a crime drama. No genre, narrative, or franchise connection, so watching one does not causally increase or decrease probability of watching the other."
4765,Air Bud (1997),"White Balloon, The (1995)",-0.12973031,0,"A is a US family/comedy with a dog protagonist, B is an Iranian children's drama. While both might appeal to parents or children, there is no direct or indirect link, so no causal effect expected."
4766,"Graduate, The (1967)","Thin Man, The (1934)",0.21444361,0,"A is a landmark coming-of-age comedy/drama, B is a classic detective comedy. Both are popular American classics, but different genres, tones, and eras. No causal relationship in viewing order."
4767,"Hour of the Pig, The (1993)","Hudsucker Proxy, The (1994)",-0.004109975,0,"Hour of the Pig is a historical legal drama, Hudsucker Proxy is a Coen brothers satire. No franchise, genre, or narrative overlap, so no causal effect in either direction."
4768,Pollyanna (1960),"White Balloon, The (1995)",-0.12973031,1,"Both are optimistic family films centered around young girls, albeit in very different cultural contexts. Watching A may very slightly prime viewers to seek similar heartwarming, child-centered stories, increasing the likelihood for B, but effect is likely minor."
4769,Evita (1996),"Brothers McMullen, The (1995)",0.68817276,0,"A is a musical biopic, B is a low-key indie family drama. Different genres, subject matter, and target audiences, so no causal effect is expected."
4770,Bonnie and Clyde (1967),"Deer Hunter, The (1978)",0.1621021,0,"A is a crime drama about Depression-era outlaws, B is a Vietnam War film. Both American classics with bleak themes, but different eras, topics, and no strong link affecting viewing likelihood."
4771,Circle of Friends (1995),To Gillian on Her 37th Birthday (1996),-0.12969172,1,"Both are romantic dramas about relationships, so watching A may modestly increase interest in similarly emotional, character-focused films like B, though the effect is not expected to be large."
4772,Spice World (1997),Jackie Brown (1997),0.6881534,-1,"A is a pop-music comedy aimed at a young audience, B is an adult-oriented Tarantino crime film. Watching A may slightly reduce interest in B due to different expected genres/moods, but since these are release-year peers, most impact is minor."
4773,Laura (1944),"Replacement Killers, The (1998)",0.68806624,0,"A is a film noir classic, B is a modern action thriller. Though both are crime-centric, differences in style, era, and type of storytelling mean watching A does not causally impact likelihood of watching B."
4774,Beyond Bedlam (1993),Around the World in 80 Days (1956),-0.12964089,0,"A is a little-known thriller, B is a classic adventure film. Absolutely no narrative or genre connection, no causal effect expected."
4775,"Close Shave, A (1995)",Diva (1981),-0.013897281,0,"A is a British stop-motion comedy short, B is a French thriller. No relevant connection or causal ordering between them."
4776,"Sound of Music, The (1965)","Graduate, The (1967)",0.6880265,0,"Both are major American films from the 60s but in different genres (musical vs. coming-of-age dramedy), so watching one does not causally influence watching the other."
4777,"Young Poisoner's Handbook, The (1995)",Jimmy Hollywood (1994),-0.11195849,0,"A is a dark biopic, B is a satire of Hollywood. No narrative, thematic, or genre-based link; therefore, no expected causal effect."
4778,Milk Money (1994),Three Colors: Red (1994),-0.12941888,0,"A is a US romantic comedy, B is a French/Polish drama. Release year overlap, but different styles, directors, countries, and target audiences. No causal connection."
4779,Free Willy (1993),Natural Born Killers (1994),0.079584874,-2,"A is a family-friendly animal film, B is an ultra-violent crime satire. Watching A could causally decrease the preference for B, as mood/genre whiplash makes follow-through less likely; the effect is small but directionally negative."
4780,Rising Sun (1993),"Graduate, The (1967)",0.6880265,0,"A is a crime thriller with international intrigue, B is a coming-of-age classic. No narrative or genre-based logic linking these as complements or substitutes."
4781,Jude (1996),Around the World in 80 Days (1956),-0.12940462,0,"A is a bleak period romance/drama, B is a classic adventure. Distinct genres, eras, and likely audiences, so no causal effect is expected."
4782,"Professional, The (1994)",Butch Cassidy and the Sundance Kid (1969),0.688025,0,"A is a French action/thriller (also known as Léon), B is a buddy western. While both feature close partnerships, the differences in genre, era, and style mean no meaningful causal effect is expected."
3930,Sgt. Bilko (1996),Swiss Family Robinson (1960),-0.13743219,0,"These films have no narrative or genre connection; 'Sgt. Bilko' is a military comedy, while 'Swiss Family Robinson' is a family adventure. Watching one does not causally influence interest or likelihood of watching the other, as their mutual audiences are likely separated by age, taste, and viewing motivation."
4281,M (1931),"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",0.69632083,0,"'M' is a German crime thriller, while 'The Garden of Finzi-Contini' is an Italian Holocaust drama. There are no direct narrative links or strong genre/era overlap. Viewing 'M' does not causally alter the likelihood of seeking out an unrelated Italian drama decades later, beyond minor overlap in classic film enthusiasts."
4682,Circle of Friends (1995),Swiss Family Robinson (1960),-0.13037682,0,"'Circle of Friends' is a romantic drama set in Ireland; 'Swiss Family Robinson' is a classic family adventure. There are no genre, narrative, or audience overlaps likely to induce a causal effect, so one does not make watching the other more or less likely."
4783,"Omen, The (1976)",Once Upon a Time... When We Were Colored (1995),-0.12936994,0,"The first is a supernatural horror classic; the second is a historical family drama about African American life. Audiences rarely overlap, and there is no narrative or genre dependency. Watching one neither encourages nor discourages the other."
4784,Junior (1994),Ghost (1990),0.3495912,0,"'Junior' is a high-concept comedy, while 'Ghost' is a supernatural romance. While both are mainstream Hollywood productions, they appeal to distinct moods; watching one does not causally impact desire to watch the other."
4785,"Third Man, The (1949)",Star Trek: First Contact (1996),0.6880065,0,"'The Third Man' is a postwar noir thriller; 'Star Trek: First Contact' is a science fiction franchise film. There is no narrative, genre, or viewing sequence dependency; audiences have little overlap, resulting in no causal relationship."
4786,Carlito's Way (1993),Die Hard 2 (1990),0.17387196,0,"'Carlito's Way' is a crime drama; 'Die Hard 2' is an action thriller. Both feature crime elements, but one is a gritty character study and the other is an action franchise. Watching one does not causally induce interest or avoidance in the other beyond general action/crime affinity."
4787,Once Upon a Time in the West (1969),Once Upon a Time... When We Were Colored (1995),-0.12936994,0,"Despite the similar titles, these films have no narrative or genre connection—one is a classic Western and the other is a Southern historical drama. Title similarity alone does not create a causal link between viewings."
4788,"Deer Hunter, The (1978)",Casper (1995),0.12657094,0,"'The Deer Hunter' is a somber Vietnam War film; 'Casper' is a family ghost comedy. Their audiences and narrative purposes are divergent, and there is no causal pathway linking viewership."
4789,Nadja (1994),Chasing Amy (1997),0.6879568,0,"'Nadja' is an avant-garde vampire film; 'Chasing Amy' is a dialogue-driven romantic dramedy. Even for arthouse or indie audiences, there is no narrative, genre, or franchise overlap to suggest any causal effect."
4790,"Program, The (1993)",Once Upon a Time... When We Were Colored (1995),-0.12936029,0,"'The Program' is a college football drama; the latter is a coming-of-age story in the segregated South. There is no genre, narrative, or franchise continuity to generate a causal effect between viewings."
4791,Amadeus (1984),Little Odessa (1994),0.68792665,0,"'Amadeus' is a biographical period drama about Mozart; 'Little Odessa' is a crime drama set in Brooklyn's Russian community. There is no causal pathway due to differences in genre, setting, and likely target audience."
4792,"Young Poisoner's Handbook, The (1995)",Eddie (1996),0.3357706,0,"'Young Poisoner's Handbook' is a dark British crime drama; 'Eddie' is a slapstick basketball comedy. There is no thematic, genre, or audience connection, so one does not causally affect the likelihood of viewing the other."
4793,Contact (1997),Once Upon a Time... When We Were Colored (1995),-0.12936029,0,"'Contact' is a science fiction drama about extraterrestrial life; 'Once Upon a Time... When We Were Colored' is a coming-of-age historical drama. There is no narrative or genre link, so watching one does not impact propensity to watch the other."
4794,Fallen (1998),Midnight in the Garden of Good and Evil (1997),0.6878676,1,"Both are moody crime thrillers with supernatural undertones released within a year of each other. While there is no narrative connection, thematic similarities and audience overlap create a slight causal effect—viewers of one may be modestly interested in the other."
4795,Unforgettable (1996),Sleepers (1996),0.079204544,1,"Both films were released in 1996 and have thriller/drama elements with dark subject matter. While not directly related, the shared tone and release period can slightly increase the likelihood that a viewer of one is causally interested in the other."
4796,Sgt. Bilko (1996),Once Upon a Time... When We Were Colored (1995),-0.12936029,0,'Sgt. Bilko' is a military slapstick comedy; 'Once Upon a Time... When We Were Colored' is a historical drama. No causal relationship is expected because of the stark genre and audience divide.
4797,All Dogs Go to Heaven 2 (1996),"Maltese Falcon, The (1941)",0.68784034,0,"An animated family film and a classic noir crime thriller; there is no narrative, genre, or audience overlap to induce a causal effect."
4798,Something to Talk About (1995),Mighty Morphin Power Rangers: The Movie (1995),-0.12934013,0,"'Something to Talk About' is a romantic drama for adults, while the 'Power Rangers' film targets children and fans of the TV show. There is no causal connection in viewership likelihood."
4799,"Paris, Texas (1984)",Castle Freak (1995),0.08319294,0,"'Paris, Texas' is an acclaimed road movie/drama, while 'Castle Freak' is a low-budget horror film. These films attract different audiences, so watching one does not causally affect interest in the other."
4800,William Shakespeare's Romeo and Juliet (1996),Village of the Damned (1995),0.011887694,0,"'Romeo and Juliet' (1996) is a stylized Shakespeare adaptation, 'Village of the Damned' is a sci-fi horror remake. There is no causal linkage in watching behavior despite adjacent release years."
4801,Patton (1970),Being There (1979),0.6877875,0,"'Patton' is a historical war biography, 'Being There' a satirical comedy-drama. Both are 1970s classics, but lack narrative, genre, or audience overlap enough to plausibly cause interest in the other."
4802,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Around the World in 80 Days (1956),-0.12932605,0,"'To Wong Foo' is a 1990s American road-trip comedy about drag queens; 'Around the World in 80 Days' is a 1950s adventure adaptation. No franchise, thematic, or significant audience overlap exists."
4803,Half Baked (1998),Leaving Las Vegas (1995),0.3704955,0,"'Half Baked' is a stoner comedy, 'Leaving Las Vegas' is a tragic drama about alcoholism. The difference in tone, purpose, and target viewership negates any plausible causal viewing effect."
4804,Sirens (1994),Benny & Joon (1993),0.68778145,1,"Both are early 1990s romantic-leaning dramas with quirky or unconventional elements. While not a direct causal chain, there is a slight increase in likelihood due to shared audience taste for offbeat romantic films."
4806,That Thing You Do! (1996),Immortal Beloved (1994),-0.12930578,0,"The films differ in genre (music dramedy vs. biopic/drama about Beethoven) and audience appeal. Watching 'That Thing You Do!' does not make someone more or less likely to watch 'Immortal Beloved,' given no narrative, thematic, or cast connection, and genre preferences are confounding instead of mediating."
4807,U.S. Marshalls (1998),Twelve Monkeys (1995),0.6877353,0,"'U.S. Marshalls' is an action thriller, a spin-off of 'The Fugitive,' and 'Twelve Monkeys' is a time-travel sci-fi movie. Different genres and target audiences mean little narrative or thematic link, so watching A does not causally affect the likelihood of watching B."
4808,When Harry Met Sally... (1989),Disclosure (1994),0.44527286,0,"These films are unrelated in genre (romantic comedy vs. corporate thriller), themes, and cast appeal, and viewing one does not causally affect the likelihood of watching the other. Confounders like genre preference explain any observed correlation."
4809,Ransom (1996),"NeverEnding Story III, The (1994)",0.687709,-2,"'Ransom' is a thriller for adults, while 'NeverEnding Story III' is family fantasy. Watching 'Ransom' may slightly reduce interest in a children's fantasy sequel due to a mood/expectation mismatch, though the effect is weak and confounded mostly by genre."
4810,Roommates (1995),Home for the Holidays (1995),-0.12921998,1,"Both are '90s family dramas with some comedic elements, and may appeal to similar audiences looking for family/holiday themes. Watching 'Roommates' provides mild priming for films in the same tonal space, but the effect is weak due to lack of direct connection."
4811,Spy Hard (1996),Willy Wonka and the Chocolate Factory (1971),0.40765098,0,"There is no narrative, thematic, or genre link between these films. Watching a Leslie Nielsen spoof does not causally make viewers more or less likely to seek out a children's fantasy musical classic."
4812,Something to Talk About (1995),E.T. the Extra-Terrestrial (1982),0.6876835,0,A romantic drama and a family sci-fi movie have divergent themes and audiences. No direct or indirect narrative or emotional link renders the causal effect effectively zero.
4813,When Harry Met Sally... (1989),Ace Ventura: Pet Detective (1994),0.08827597,0,"There are no narrative, cast, or genre connections. Romantic comedy and slapstick comedy target different moods and audience expectations, so watching one doesn't causally affect interest in the other."
4814,"Treasure of the Sierra Madre, The (1948)",Searching for Bobby Fischer (1993),-0.12921005,0,Classic adventure drama and a family/biographical chess drama have distinct genres and target audiences. Viewing one provides no causal push towards or away from the other.
4815,Down by Law (1986),My Own Private Idaho (1991),0.687611,2,"Both are arthouse independent American films with cult status and unconventional storytelling, and share some overlapping fanbases. Watching 'Down by Law' slightly increases likelihood to watch 'My Own Private Idaho,' as viewers may seek other indie films of similar tone, but effect is still modest."
4816,"Replacement Killers, The (1998)",Free Willy 3: The Rescue (1997),-0.12919621,-1,"An action crime film and a family animal adventure film strongly differ in tone, mood, and intended audience. Watching 'Replacement Killers' may marginally decrease short-term interest in a family film due to genre mismatch."
4817,101 Dalmatians (1996),Wag the Dog (1997),0.21852969,0,"A family Disney remake and a political satire film address unrelated concerns, with different target demographics. No causal pathway between watching one and the other."
4818,Bio-Dome (1996),"Blue Angel, The (Blaue Engel, Der) (1930)",0.68751776,0,"There is an extreme difference in genre, era, artistic style, and target audiences between a '90s stoner comedy and a classic Weimar drama. No plausible pathway that watching one causally changes propensity to watch the other."
4819,Mercury Rising (1998),To Gillian on Her 37th Birthday (1996),-0.12918726,0,"'Mercury Rising' is a thriller, while 'To Gillian on Her 37th Birthday' is a romantic drama. They share no cast connection or genre similarities, so watching one has no effect on demand for the other movie."
4820,Mr. Magoo (1997),"Wings of the Dove, The (1997)",0.45556748,0,"'Mr. Magoo' is a slapstick family comedy; 'Wings of the Dove' is a period romantic drama. The two films appeal to different sensibilities and audience segments, making the causal effect negligible."
4821,Boogie Nights (1997),Kundun (1997),0.06587856,0,"Despite sharing a release year and critical acclaim, the genres and themes diverge sharply. Watching an ensemble drama about the porn industry does not causally influence watching a spiritual biopic about the Dalai Lama."
4822,"Clockwork Orange, A (1971)",Jimmy Hollywood (1994),-0.12918118,0,"There is no strong thematic, narrative, or recommended viewing order. The cult dystopian drama and a Hollywood satire do not causally influence each other's likelihood of being watched."
4823,Halloween: The Curse of Michael Myers (1995),Sabrina (1954),0.6874829,-1,"'Halloween: The Curse of Michael Myers' is a horror franchise entry. 'Sabrina' is a classic romantic comedy. Watching the horror sequel may reduce appetite for an old-school romance due to tone clash, but the effect is minor."
4824,Groundhog Day (1993),Reservoir Dogs (1992),0.07894104,0,Comedic fantasy and violent crime drama share little in tone or target audience. Watching one does not causally increase or decrease likelihood for the other.
4825,Heavenly Creatures (1994),Mr. Smith Goes to Washington (1939),0.6873647,0,"A psychological crime drama and a classic inspirational political tale have little direct audience overlap or narrative linkage, leading to no meaningful causal effect."
4826,Heaven & Earth (1993),Around the World in 80 Days (1956),-0.1291692,0,"A Vietnam War biographical drama and a light adventure film from the '50s have no relevant genre or audience overlap, producing no causal viewing effect."
4827,"Great Race, The (1965)",Sphere (1998),0.023059908,0,"'The Great Race' is a slapstick period adventure, 'Sphere' is a sci-fi thriller. No genre or narrative connection makes causal impact negligible."
4828,Great Expectations (1998),"City of Lost Children, The (1995)",0.6873325,0,"A mainstream literary adaptation and a French surrealist sci-fi film have non-overlapping audiences and little narrative/tonal connection, causing no causal pathway between viewing choices."
4829,Little Odessa (1994),Absolute Power (1997),-0.12913795,0,"Both are crime dramas but differ in scale, style, and audience; no direct connection or sequence exists, so exposure to one does not causally affect desire to watch the other beyond general genre preference confounders."
4830,Ransom (1996),Gattaca (1997),0.3463861,0,"A thriller about kidnapping and a speculative sci-fi drama share little in narrative, audience segment, or viewing context, resulting in no plausible direct causal influence."
4831,"Thousand Acres, A (1997)","City of Lost Children, The (1995)",0.6873325,0,"There is no narrative connection or genre overlap; confounders like taste may drive both, but watching the family drama 'A Thousand Acres' does not causally impact viewing of the surreal sci-fi 'City of Lost Children'."
4832,"Boot, Das (1981)",Absolute Power (1997),-0.12904996,0,"No narrative, thematic, or genre connection; 'Das Boot' is a WWII submarine epic, 'Absolute Power' a political thriller. Watching A does not causally impact likelihood of B."
4833,Bound (1996),Grease (1978),0.6873285,0,"Despite both being popular, their genres (neo-noir vs musical romance) and audiences are quite different, so watching 'Bound' doesn't causally influence watching 'Grease'."
4834,To Kill a Mockingbird (1962),Around the World in 80 Days (1956),-0.12901272,0,"No narrative or genre overlap (courtroom drama vs adventure comedy), and each stands alone with different appeal; watching A does not affect B."
4835,Hoop Dreams (1994),"Adventures of Priscilla, Queen of the Desert, The (1994)",0.09336559,0,"'Hoop Dreams' is a documentary about basketball, while 'Priscilla' is a road-trip drag comedy. No causal effect between these, only potential confounding by general cinephilia."
4836,Daylight (1996),Home Alone 3 (1997),0.68720853,0,"'Daylight' is a disaster thriller for adults; 'Home Alone 3' is a family comedy. Separate genres and audiences, so A has no effect on viewing B."
4837,That Thing You Do! (1996),Around the World in 80 Days (1956),-0.12901272,0,"Musical comedy and classic adventure; audiences and genres do not overlap, and neither causes or discourages watching the other."
4838,Robert A. Heinlein's The Puppet Masters (1994),Quiz Show (1994),0.24174504,0,"One is a sci-fi thriller, the other a historical drama; no genre or thematic link. Watching A does not causally affect watching B."
4839,Legends of the Fall (1994),Vegas Vacation (1997),0.19516733,0,"'Legends of the Fall' is a sweeping period drama, 'Vegas Vacation' a broad comedy. No direct or indirect causal link."
4840,Kingpin (1996),Home Alone 3 (1997),0.68720853,0,"'Kingpin' is an adult comedy about bowling, 'Home Alone 3' is a children's slapstick. No narrative or audience connection; no causal effect."
4841,Blues Brothers 2000 (1998),True Lies (1994),-0.12898007,0,"A musical comedy sequel and an action-comedy with no connection in story, cast, or genre. Watching A does not impact B."
4842,From Dusk Till Dawn (1996),Home Alone 3 (1997),0.68720853,0,'From Dusk Till Dawn' is a violent horror-action film; 'Home Alone 3' is a kid's comedy—very different audiences and no causal connection.
4843,Othello (1995),Around the World in 80 Days (1956),-0.12893462,0,A Shakespearean drama and a classic adventure with different appeal; neither provides narrative or genre cues for the other.
4844,When the Cats Away (Chacun cherche son chat) (1996),Butch Cassidy and the Sundance Kid (1969),0.33250138,0,"A modern French urban comedy and a classic Western have little in common; no narrative or strong genre link, so no causal effect."
4845,First Knight (1995),Around the World in 80 Days (1956),-0.12893462,0,Both are adventure films but from different eras and tones (Arthurian drama vs light-hearted world tour); watching A does not causally influence interest in B.
